"name","estimate"
"N1",-1.06074068608651
"N2",-1.67346669928779
"N3",-2.50886339944257
"N4",-1.98611242255267
"N5",-1.50657398528422
"N6",-2.00434235102608
"N7",-1.84725132009283
"N8",-1.64371304616216
"N9",-1.59985086777159
"N10",-2.69422666442004
"N11",-1.50064908541494
"N12",-4.34238570258783
"N13",-3.61822325604485
"N14",-2.45290505573533
"N15",-1.32980698459195
"N16",-1.27116124427174
"N17",-1.17931241823313
"N18",-0.760588881331244
"N19",0.47320972499871
"N20",2.21442011535906
"N21",-1.64824399516482
"N22",-1.88427606853571
"N23",-0.742040442526849
"N24",-1.04692047364127
"N25",-0.352756341043333
"N26",-1.94880636117977
"N27",1.1000853495663
"N28",-0.0183988501562631
"N29",-1.87667149477274
"N30",-1.21038845730083
"N31",-0.256622274761629
"N32",-1.8819405223895
"N33",-0.83072557663944
"N34",2.36758442540854
"N35",-0.768212106765449
"N36",-0.9038652065745
"N37",-1.4371832373486
"N38",-1.558688258664
"N39",-1.48823792686847
"N40",-1.75367455235269
"N41",-1.05429087769247
"N42",-1.6359988496644
"N43",0.425075438358532
"N44",1.13598657622438
"N45",3.63692570033173
"N46",2.20467535854534
"N47",1.06690388921198
"N48",0.0306186218598683
"N49",0.684474876792909
"N50",-0.106922215401247
"N51",0.314443893360716
"N52",-0.0714304256208808
"N53",1.68426883224421
"N54",2.21119883647497
"N55",1.41710208219321
"N56",1.81408475680645
"N57",1.84339806585407
"N58",-0.167620015263011
"N59",0.583554714189747
