"name","trait","value"
"t58","w",-4.48087520194887
"t8","w",-4.41130722431039
"t36","w",0.37410715859102
"t4","w",-2.98991740465211
"t22","w",-0.00546784291412459
"t18","w",-1.28477664427745
"t45","w",-1.84101481934849
"t28","w",-6.07403353625732
"t5","w",-3.67424385107996
"t57","w",0.538549323353814
"t34","w",1.70286178327061
"t35","w",-1.47863206066042
"t24","w",0.000188652196053372
"t23","w",3.3686689301399
"t26","w",4.31956722892857
"t6","w",-3.29134130521746
"t54","w",-0.35195868075053
"t2","w",3.6044952027591
"t3","w",-1.4091887416989
"t21","w",-0.157408454816989
"t43","w",-0.258321894711269
"t38","w",-2.66303705371929
"t10","w",-1.33405201465421
"t52","w",-0.0883346372647144
"t33","w",-1.24160654717377
"t9","w",3.34015807010461
"t29","w",-1.44297852496195
"t12","w",-1.29950709780219
"t20","w",2.09058772965631
"t49","w",-3.16910523951272
"t11","w",-0.122095425453645
"t42","w",-4.65463446704277
"t16","w",3.50150864770705
"t37","w",-0.820937104122242
"t48","w",-1.40353597401676
"t14","w",-3.71475698395864
"t27","w",-0.0232861013319799
"t56","w",-2.40084653385498
"t40","w",-1.60047698985131
"t55","w",3.86302573675377
"t17","w",-0.526577610726382
"t41","w",-3.21534715245203
"t46","w",0.489620647402147
"t25","w",-1.08821524688385
"t59","w",1.77004064396202
"t7","w",4.29726578319297
"t53","w",-2.97807753332848
"t19","w",1.36395089274085
"t51","w",0.254694176035462
"t31","w",2.68669674679363
"t60","w",-0.689334416838799
"t15","w",2.50985720538184
"t47","w",-5.23516758401008
"t32","w",5.06837676394012
"t50","w",2.59433393555573
"t13","w",-0.452327966657243
"t1","w",-4.3470213904175
"t30","w",1.92902610012594
"t39","w",1.4495815914443
"t44","w",-0.0190668792641661
