"node_index","name","branch_length","parent_index"
1,"t31",0.193064247723669,65
2,"t34",0.924299746984616,65
3,"t32",0.903669724939391,66
4,"t12",0.186991671100259,66
5,"t21",0.202658951980993,66
6,"t8",0.798631272977218,67
7,"t24",0.475121226161718,67
8,"t10",0.846010283334181,71
9,"t46",0.501694795675576,71
10,"t40",0.663214929634705,70
11,"t48",0.347003379836679,73
12,"t23",0.809235938359052,73
13,"t5",0.213974988320842,72
14,"t58",0.364645583787933,76
15,"t38",0.731619958998635,76
16,"t3",0.380332519300282,75
17,"t41",0.498559136874974,77
18,"t16",0.721490374067798,77
19,"t55",0.978518000338227,77
20,"t28",0.732039236230776,81
21,"t43",0.739723321516067,81
22,"t18",0.801363316131756,82
23,"t29",0.283103776397184,83
24,"t53",0.714157090056688,83
25,"t30",0.0617800417821854,85
26,"t22",0.437410934828222,85
27,"t6",0.330648232484236,84
28,"t4",0.698139973683283,88
29,"t51",0.873962532263249,88
30,"t17",0.866327894618735,91
31,"t11",0.120125230867416,91
32,"t13",0.0162769188173115,90
33,"t57",0.621233539190143,89
34,"t49",0.839227909687907,93
35,"t27",0.517077034106478,93
36,"t39",0.33845327491872,94
37,"t1",0.799586572917178,94
38,"t60",0.722995738498867,92
39,"t54",0.652502363082021,97
40,"t44",0.676856430945918,97
41,"t36",0.734399398555979,96
42,"t47",0.740551948081702,95
43,"t2",0.904899303801358,101
44,"t9",0.967275375733152,102
45,"t37",0.38674676604569,102
46,"t35",0.865083527052775,102
47,"t42",0.0519147433806211,104
48,"t26",0.528164664283395,105
49,"t20",0.130914319539443,105
50,"t52",0.725135227432474,106
51,"t59",0.754415177507326,106
52,"t33",0.429517122451216,107
53,"t19",0.708526996895671,107
54,"t45",0.0477428862359375,110
55,"t56",0.727987584890798,111
56,"t50",0.513293358962983,111
57,"t14",0.0711131477728486,112
58,"t25",0.676048663677648,112
59,"t7",0.845935948425904,108
60,"t15",0.42537472047843,98
61,"M1",,
62,"M2",0.178107399493456,61
63,"M3",0.562763405265287,62
64,"M4",0.269084484083578,63
65,"M5",0.71901514264755,64
66,"M6",0.967109257588163,64
67,"M7",0.288557983702049,64
68,"M8",0.770771817769855,63
69,"M9",0.992297024466097,68
70,"M10",0.811099534388632,69
71,"M11",0.634044782491401,70
72,"M12",0.511655368842185,69
73,"M13",0.524638179456815,72
74,"M14",0.423013881314546,68
75,"M15",0.377633551601321,74
76,"M16",0.784650578629225,75
77,"M17",0.714831268647686,74
78,"M18",0.949058695463464,62
79,"M19",0.296092094155028,78
80,"M20",0.259326393716037,79
81,"M21",0.923973979661241,80
82,"M22",0.593436368042603,80
83,"M23",0.261158882174641,82
84,"M24",0.868215053807944,82
85,"M25",0.701323045184836,84
86,"M26",0.904205126455054,79
87,"M27",0.440116849029437,86
88,"M28",0.384970254963264,87
89,"M29",0.721579354256392,87
90,"M30",0.442052124300972,89
91,"M31",0.468383849365637,90
92,"M32",0.450468938564882,86
93,"M33",0.397014734102413,92
94,"M34",0.846898184623569,92
95,"M35",0.547789565986022,78
96,"M36",0.29006899963133,95
97,"M37",0.334961001994088,96
98,"M38",0.242195844883099,61
99,"M39",0.729575799545273,98
100,"M40",0.258018251974136,99
101,"M41",0.186944764340296,100
102,"M42",0.938692790223286,101
103,"M43",0.394467736128718,100
104,"M44",0.837140261661261,103
105,"M45",0.619560679653659,104
106,"M46",0.941779737360775,105
107,"M47",0.454452774720266,103
108,"M48",0.767060720361769,99
109,"M49",0.280059142969549,108
110,"M50",0.937392980558798,109
111,"M51",0.693774678744376,110
112,"M52",0.338572729146108,109
