"name","trait","value"
"t36","w","0"
"t14","w","0"
"t17","w","1"
"t43","w","0"
"t39","w","0"
"t12","w","0"
"t15","w","0"
"t32","w","0"
"t42","w","0"
"t7","w","0"
"t9","w","0"
"t10","w","1"
"t23","w","1"
"t27","w","1"
"t41","w","1"
"t37","w","1"
"t47","w","1"
"t25","w","1"
"t2","w","1"
"t29","w","1"
"t5","w","1"
"t8","w","0"
"t45","w","0"
"t13","w","0"
"t18","w","0"
"t1","w","0"
"t6","w","1"
"t21","w","1"
"t44","w","1"
"t40","w","0"
"t22","w","1"
"t16","w","0"
"t24","w","0"
"t11","w","0"
"t31","w","0"
"t26","w","0"
"t20","w","0"
"t50","w","1"
"t33","w","1"
"t49","w","1"
"t34","w","1"
"t28","w","1"
"t46","w","1"
"t4","w","1"
"t30","w","1"
"t48","w","1"
"t19","w","1"
"t3","w","1"
"t38","w","0"
"t35","w","1"
