"name","trait","value"
"t29","w","0"
"t3","w","0"
"t9","w","1"
"t30","w","0"
"t4","w","0"
"t16","w","0"
"t46","w","0"
"t1","w","0"
"t13","w","1"
"t15","w","1"
"t7","w","0"
"t35","w","1"
"t45","w","2"
"t49","w","2"
"t20","w","2"
"t18","w","2"
"t52","w","2"
"t47","w","2"
"t58","w","1"
"t53","w","1"
"t59","w","0"
"t51","w","0"
"t24","w","1"
"t26","w","2"
"t54","w","1"
"t34","w","1"
"t40","w","1"
"t25","w","1"
"t22","w","2"
"t23","w","2"
"t48","w","1"
"t14","w","0"
"t12","w","0"
"t60","w","2"
"t31","w","2"
"t44","w","2"
"t8","w","0"
"t17","w","2"
"t39","w","0"
"t21","w","0"
"t57","w","0"
"t27","w","0"
"t32","w","0"
"t36","w","0"
"t43","w","0"
"t11","w","0"
"t56","w","2"
"t2","w","0"
"t42","w","0"
"t50","w","0"
"t55","w","0"
"t33","w","1"
"t6","w","2"
"t10","w","2"
"t41","w","1"
"t5","w","1"
"t38","w","1"
"t28","w","1"
"t19","w","1"
"t37","w","1"
