case_id,n1,off1,stride1,n2,off2,stride2,method,statistic,pvalue
gen_10000_10000_shift1500,10000,0,1,10000,1500,1,auto,0.15000000000000008,1.6593530884621873e-98
gen_10000_10000_shift1500,10000,0,1,10000,1500,1,exact,0.15000000000000008,1.6593530884621873e-98
gen_10000_10000_shift5,10000,0,1,10000,5,1,auto,0.000500000000000056,1.0
gen_10000_10000_shift5,10000,0,1,10000,5,1,exact,0.000500000000000056,1.0
gen_10000_10000_shift500,10000,0,1,10000,500,1,auto,0.050000000000000044,2.7522193691639167e-11
gen_10000_10000_shift500,10000,0,1,10000,500,1,exact,0.050000000000000044,2.7522193691639167e-11
gen_5000_5000_shift50,5000,0,1,5000,50,1,auto,0.010000000000000064,0.963973606015013
gen_5000_5000_shift50,5000,0,1,5000,50,1,exact,0.010000000000000064,0.963973606015013
gen_9000_3000_stride3,9000,0,1,3000,0,3,auto,0.00022222222222223476,1.0
gen_9000_3000_stride3,9000,0,1,3000,0,3,exact,0.00022222222222223476,1.0
