case_id,n1,n2,method,statistic,pvalue
all_same_value,4,6,auto,0.0,1.0
all_same_value,4,6,exact,0.0,1.0
common_factor_12_30,12,30,auto,0.4,0.10331272797810202
common_factor_12_30,12,30,exact,0.4,0.10331272797810202
common_factor_6_9,6,9,auto,0.5,0.27352647352647347
common_factor_6_9,6,9,exact,0.5,0.27352647352647347
coprime_3_11,3,11,auto,0.4848484848484849,0.5054945054945054
coprime_3_11,3,11,exact,0.4848484848484849,0.5054945054945054
coprime_7_13,7,13,auto,0.2637362637362637,0.821078431372549
coprime_7_13,7,13,exact,0.2637362637362637,0.821078431372549
curve_12_47,12,47,auto,0.40780141843971623,0.06217258589615326
curve_12_47,12,47,exact,0.40780141843971623,0.06217258589615326
curve_30_30,30,30,auto,0.10000000000000009,0.9988393756362763
curve_30_30,30,30,exact,0.10000000000000009,0.9988393756362763
curve_dominating,25,25,auto,1.0,1.582145720489723e-14
curve_dominating,25,25,exact,1.0,1.582145720489723e-14
curve_identical,18,18,auto,0.0,1.0
curve_identical,18,18,exact,0.0,1.0
disjoint_100_100,100,100,auto,1.0,2.2087606931995054e-59
disjoint_100_100,100,100,exact,1.0,2.2087606931995054e-59
disjoint_2_2,2,2,auto,1.0,0.3333333333333333
disjoint_2_2,2,2,exact,1.0,0.3333333333333333
disjoint_50_50,50,50,auto,1.0,1.9823306042836678e-29
disjoint_50_50,50,50,exact,1.0,1.9823306042836678e-29
disjoint_5_5,5,5,auto,1.0,0.007936507936507936
disjoint_5_5,5,5,exact,1.0,0.007936507936507936
extreme_ties_20_20,20,20,auto,1.0,1.4508889103849681e-11
extreme_ties_20_20,20,20,exact,1.0,1.4508889103849681e-11
h1_overshoot_5_5,5,5,auto,0.20000000000000007,1.0
h1_overshoot_5_5,5,5,exact,0.20000000000000007,1.0
identical_small,3,3,auto,0.0,1.0
identical_small,3,3,exact,0.0,1.0
identical_tied,5,5,auto,0.0,1.0
identical_tied,5,5,exact,0.0,1.0
lopsided_2_97,2,97,auto,0.8041237113402062,0.08658008658008658
lopsided_2_97,2,97,exact,0.8041237113402062,0.08658008658008658
lopsided_97_2,97,2,auto,0.5360824742268041,0.44568130282415996
lopsided_97_2,97,2,exact,0.5360824742268041,0.44568130282415996
moderate_150_211,150,211,auto,0.12366508688783567,0.12314986994359856
moderate_150_211,150,211,exact,0.12366508688783567,0.12314986994359856
moderate_200_200,200,200,auto,0.22000000000000003,0.0001183661896190048
moderate_200_200,200,200,exact,0.22000000000000003,0.0001183661896190048
negatives_and_zero,5,4,auto,0.30000000000000004,0.9682539682539681
negatives_and_zero,5,4,exact,0.30000000000000004,0.9682539682539681
normal_20_20,20,20,auto,0.25000000000000006,0.571336004933722
normal_20_20,20,20,exact,0.25000000000000006,0.571336004933722
normal_20_30,20,30,auto,0.2,0.6789136721225938
normal_20_30,20,30,exact,0.2,0.6789136721225938
one_side_constant,4,4,auto,0.5,0.7714285714285716
one_side_constant,4,4,exact,0.5,0.7714285714285716
shifted_20_20,20,20,auto,0.65,0.0002704973445409677
shifted_20_20,20,20,exact,0.65,0.0002704973445409677
single_1_1_diff,1,1,auto,1.0,1.0
single_1_1_diff,1,1,exact,1.0,1.0
single_1_1_equal,1,1,auto,0.0,1.0
single_1_1_equal,1,1,exact,0.0,1.0
single_1_5,1,5,auto,0.6,1.0
single_1_5,1,5,exact,0.6,1.0
ties_alphabet4_15_15,15,15,auto,0.33333333333333337,0.3855465198257425
ties_alphabet4_15_15,15,15,exact,0.33333333333333337,0.3855465198257425
ties_alphabet4_9_21,9,21,auto,0.15873015873015872,0.9877252981900658
ties_alphabet4_9_21,9,21,exact,0.15873015873015872,0.9877252981900658
ties_two_values_20_20,20,20,auto,0.3,0.33559098126008213
ties_two_values_20_20,20,20,exact,0.3,0.33559098126008213
