matrix,sample_id,axis,coordinate
reference,S0,0,-0.057435909602883951
reference,S0,1,-0.43211117552013145
reference,S0,2,0.13654972433691934
reference,S1,0,0.03639006683456561
reference,S1,1,0.13935844931670385
reference,S1,2,0.29840008066813734
reference,S2,0,0.053743856657853521
reference,S2,1,-0.2230875724881369
reference,S2,2,-0.051445886343799326
reference,S3,0,-0.33285402470457554
reference,S3,1,0.20838134132480851
reference,S3,2,-0.33082558515310823
reference,S4,0,0.10338466526450285
reference,S4,1,0.26523589288852517
reference,S4,2,0.16049146166912906
reference,S5,0,0.079816364989703473
reference,S5,1,-0.028242765697655846
reference,S5,2,-0.2549489021178703
reference,S6,0,-0.045638698634899742
reference,S6,1,-0.20118258810721906
reference,S6,2,0.1622427181548243
reference,S7,0,0.1625936791957337
reference,S7,1,0.27164841828310593
reference,S7,2,-0.12046361121423209
other,S0,0,-0.058148489560489611
other,S0,1,-0.42507196534513353
other,S0,2,0.13879981806248104
other,S1,0,0.035501739528409036
other,S1,1,0.1453398291256488
other,S1,2,0.29659115530865576
other,S2,0,0.059994768590689224
other,S2,1,-0.22438646096476295
other,S2,2,-0.05818139712867991
other,S3,0,-0.33556295389416119
other,S3,1,0.21429589768596699
other,S3,2,-0.33282345929810114
other,S4,0,0.10027973442089064
other,S4,1,0.25792790381498271
other,S4,2,0.15976135955605156
other,S5,0,0.078890193852195784
other,S5,1,-0.030068452318039535
other,S5,2,-0.25265950732825015
other,S6,0,-0.04334106060628376
other,S6,1,-0.20799207087098545
other,S6,2,0.16686308397911673
other,S7,0,0.16238606766874986
other,S7,1,0.26995531887232277
other,S7,2,-0.11835105315127362
