matrix,sample_id,axis,coordinate
reference,S0,0,0.10257965781457871
reference,S0,1,-0.14277597031014957
reference,S0,2,0.19637130212353629
reference,S1,0,-0.086093660451003057
reference,S1,1,0.082901140626070485
reference,S1,2,-0.11179416049068586
reference,S2,0,0.26998569091919417
reference,S2,1,-0.42824927590010875
reference,S2,2,0.46125479187746737
reference,S3,0,0.089270383933555547
reference,S3,1,-0.02349399145844976
reference,S3,2,-0.32744491679579735
reference,S4,0,-0.034068237856212685
reference,S4,1,0.18583609907885643
reference,S4,2,-0.24436745254148712
reference,S5,0,-0.34167383436011273
reference,S5,1,0.32578199796378127
reference,S5,2,0.025980435826966623
other,S0,0,0.092946124592286711
other,S0,1,-0.14391982846067786
other,S0,2,0.19846937315818108
other,S1,0,-0.080254955549744073
other,S1,1,0.084746388183405977
other,S1,2,-0.10435896963030332
other,S2,0,0.2717575315770287
other,S2,1,-0.4228822426384391
other,S2,2,0.45447705597217586
other,S3,0,0.087925587072872499
other,S3,1,-0.035973427306907384
other,S3,2,-0.32871620400290141
other,S4,0,-0.022875461473826981
other,S4,1,0.19492161625815999
other,S4,2,-0.25205312153427684
other,S5,0,-0.34949882621861661
other,S5,1,0.32310749396445831
other,S5,2,0.032181866037124252
