matrix,sample_id,axis,coordinate
reference,S0,0,0.088879062785886351
reference,S0,1,-0.0539286800988888
reference,S0,2,-0.018515009604265123
reference,S0,3,-0.17261982439168835
reference,S0,4,0.044505432916647207
reference,S1,0,0.079302964134017967
reference,S1,1,-0.24246190955743693
reference,S1,2,0.19969099873191823
reference,S1,3,0.20867338140057151
reference,S1,4,-0.010259215066648905
reference,S2,0,0.10931012871226845
reference,S2,1,0.032658067696823057
reference,S2,2,0.054299521856922682
reference,S2,3,0.31229115010436148
reference,S2,4,0.026074782720266188
reference,S3,0,-0.11928752893680815
reference,S3,1,-0.14354419383931677
reference,S3,2,-0.061356082880301768
reference,S3,3,-0.13422836536670824
reference,S3,4,0.104743339377811
reference,S4,0,-0.26852355126232175
reference,S4,1,0.046771849253566235
reference,S4,2,-0.21768588388005888
reference,S4,3,0.22457846336412177
reference,S4,4,-0.012413516609960103
reference,S5,0,0.14763789352801251
reference,S5,1,-0.052580066010032595
reference,S5,2,-0.048812179453700699
reference,S5,3,0.0033338736259083718
reference,S5,4,0.073276030841331274
reference,S6,0,0.16340351624337807
reference,S6,1,0.14399532258001682
reference,S6,2,-0.0019561225834593531
reference,S6,3,-0.20234233949294891
reference,S6,4,-0.0694591471210802
reference,S7,0,-0.10273386113200655
reference,S7,1,0.19194231420723393
reference,S7,2,0.059030103057858198
reference,S7,3,0.2161354692095917
reference,S7,4,0.045982004956433772
reference,S8,0,-0.02917028079621602
reference,S8,1,-0.063734087740526496
reference,S8,2,0.024443591494435559
reference,S8,3,-0.11107821387111393
reference,S8,4,0.18621779703009267
reference,S9,0,-0.093538257858017643
reference,S9,1,-0.00058969739504703515
reference,S9,2,-0.075672400450137303
reference,S9,3,-0.083164215580826803
reference,S9,4,-0.080278887962589099
reference,S10,0,0.034545638427190425
reference,S10,1,0.17784494623072838
reference,S10,2,0.0038849946329884001
reference,S10,3,-0.2139172433468341
reference,S10,4,-0.076197882062536415
reference,S11,0,-0.0098257238453836465
reference,S11,1,-0.03637386532711992
reference,S11,2,0.082648469077800019
reference,S11,3,-0.047662135654434404
reference,S11,4,-0.23219073901976728
other,S0,0,0.090202439174475846
other,S0,1,-0.051727404090558073
other,S0,2,-0.022839913606786336
other,S0,3,-0.17519315802542429
other,S0,4,0.043582567322578245
other,S1,0,0.08126928976833156
other,S1,1,-0.23930672652133472
other,S1,2,0.20070780956173867
other,S1,3,0.20675079624592627
other,S1,4,-0.011006988381428469
other,S2,0,0.10854215650757033
other,S2,1,0.028066614389067577
other,S2,2,0.052570999766361426
other,S2,3,0.31382825431317291
other,S2,4,0.024689659987672485
other,S3,0,-0.12201201803565292
other,S3,1,-0.14664175428256282
other,S3,2,-0.065515590066979143
other,S3,3,-0.13455921134080751
other,S3,4,0.10463943367713591
other,S4,0,-0.26831542148871257
other,S4,1,0.046530422497782831
other,S4,2,-0.21808134776383195
other,S4,3,0.2230047826689317
other,S4,4,-0.013532210968015121
other,S5,0,0.14932011429161673
other,S5,1,-0.053969269364160834
other,S5,2,-0.047932799809255314
other,S5,3,0.0010072873395678033
other,S5,4,0.074471422605509499
other,S6,0,0.16398680353963427
other,S6,1,0.13815972366931153
other,S6,2,0.0013041349815552346
other,S6,3,-0.20448686124548823
other,S6,4,-0.069792826124468327
other,S7,0,-0.10698469077635869
other,S7,1,0.19305597433235958
other,S7,2,0.0611980312728575
other,S7,3,0.21592062588052252
other,S7,4,0.047348539774511256
other,S8,0,-0.027839005388245134
other,S8,1,-0.060324479062303607
other,S8,2,0.027651587554531419
other,S8,3,-0.10663497348630363
other,S8,4,0.18905610542685158
other,S9,0,-0.092509597738953286
other,S9,1,0.0022675561607249663
other,S9,2,-0.072766344271946726
other,S9,3,-0.081964381910632447
other,S9,4,-0.078647846678196132
other,S10,0,0.033096395095944663
other,S10,1,0.17582561669861413
other,S10,2,0.0025250553795496647
other,S10,3,-0.21274205888782144
other,S10,4,-0.079454996204877643
other,S11,0,-0.0087564649496505564
other,S11,1,-0.031936274426940997
other,S11,2,0.081178377002205621
other,S11,3,-0.044931101551643773
other,S11,4,-0.23135286043727343
