sample_id,axis,coordinate
S0,0,6.8864189862728891
S0,1,1.2047434640167964
S0,2,2.349953243169792
S0,3,4.8985815108826074
S0,4,-0.9494969124542374
S1,0,7.417967762947379
S1,1,3.0393253480791271
S1,2,-3.4116811094711581
S1,3,6.87674398054763
S1,4,4.3505613167091264
S2,0,3.8675622055811605
S2,1,0.26746737819811728
S2,2,-4.0383822349161775
S2,3,3.6586352861913833
S2,4,3.7130873697940978
S3,0,7.337846988103971
S3,1,4.7863616432658933
S3,2,2.4153005801677194
S3,3,2.8174214131845061
S3,4,-0.14673233447063319
S4,0,2.1189701945197088
S4,1,5.6097111829908322
S4,2,-2.6140303902519402
S4,3,-0.72857616409141401
S4,4,0.053305994750467774
S5,0,5.0759196274885818
S5,1,0.70816365914436885
S5,2,1.1208853020608784
S5,3,4.8376067126967817
S5,4,1.4141879636187307
S6,0,6.2113883667107395
S6,1,-1.5976340789422796
S6,2,0.96711678186224637
S6,3,4.9785297073298276
S6,4,-3.4358470823450267
S7,0,5.2915995021952407
S7,1,0.70086260517809085
S7,2,-4.269276030106389
S7,3,-0.18834586344165966
S7,4,0.95792378472362882
S8,0,8.1556942054270234
S8,1,2.0783593283116892
S8,2,2.0974778382726784
S8,3,2.4411905329187893
S8,4,1.0502025290853163
S9,0,5.6110675420712104
S9,1,3.3903003699232648
S9,2,-0.22684669648168332
S9,3,3.1748193515344263
S9,4,-2.480579630040701
S10,0,6.6976498268236817
S10,1,-0.4842938506684088
S10,2,0.34098406765094746
S10,3,3.3293116149905431
S10,4,-4.3928249778648798
S11,0,6.6300381127613646
S11,1,2.6752895842047462
S11,2,-2.8050281686461793
S11,3,6.0680933317465628
S11,4,-2.7462974248633345
