matrix,sample_id,axis,coordinate
reference,A0,0,0.0063496388562685148
reference,A0,1,-0.1736347017598994
reference,A0,2,-0.022910107292862754
reference,A1,0,0.44393061931725969
reference,A1,1,0.10705263386444455
reference,A1,2,-0.051995855354738073
reference,A2,0,-0.079504126178191886
reference,A2,1,-0.16013823837197785
reference,A2,2,0.050902728981572033
reference,A3,0,0.13918325556965228
reference,A3,1,0.39228843493651133
reference,A3,2,-0.19537320585601736
reference,A4,0,0.061383737521999292
reference,A4,1,-0.19088731060705252
reference,A4,2,0.35536633064800272
reference,A5,0,-0.57134312508698781
reference,A5,1,0.025319181937973782
reference,A5,2,-0.13598989112595658
other,B0,0,0.00390926923795355
other,B0,1,-0.17100694845677974
other,B0,2,-0.021139340882299604
other,B1,0,0.44223230969416644
other,B1,1,0.1053239073280684
other,B1,2,-0.04954644148578119
other,B2,0,-0.076666421150530725
other,B2,1,-0.16294796896515881
other,B2,2,0.046291028912680936
other,B3,0,0.13892848434067054
other,B3,1,0.39333018736720932
other,B3,2,-0.19709302165654194
other,B4,0,0.063296319640744281
other,B4,1,-0.19058343214627865
other,B4,2,0.35702112679174453
other,B5,0,-0.57169996176300397
other,B5,1,0.025884254872939522
other,B5,2,-0.13553335167980288
other,X0,0,0.061198309436186288
other,X0,1,-0.021587498436356028
other,X0,2,0.022768321821775
other,X1,0,0.41962422619994932
other,X1,1,-0.20083148175338913
other,X1,2,0.30807111820462618
other,X2,0,-0.34102401338927457
other,X2,1,0.07462330050613826
other,X2,2,0.054344141899974933
other,X3,0,0.42362844260955707
other,X3,1,0.46663895173295544
other,X3,2,-0.12061645273264643
