metric,sample_a,sample_b,distance
bray_curtis,s1,s2,0.8723404255319149
euclidean,s1,s2,15.066519173319364
jaccard,s1,s2,0.8
soergel,s1,s2,0.9318181818181818
morisita_horn,s1,s2,0.9341583420307142
pearson,s1,s2,1.7124546563474903
chisq,s1,s2,2.0277551165829997
gower,s1,s2,0.004099440117972807
bray_curtis,s1,s3,0.4222222222222222
euclidean,s1,s3,6.708203932499369
jaccard,s1,s3,0.7
soergel,s1,s3,0.59375
morisita_horn,s1,s3,0.1918291862811029
pearson,s1,s3,0.3357846737240773
chisq,s1,s3,0.9441015988529132
gower,s1,s3,0.0018998300369911024
bray_curtis,s1,s4,0.5652173913043478
euclidean,s1,s4,10.862780491200215
jaccard,s1,s4,0.5
soergel,s1,s4,0.7222222222222222
morisita_horn,s1,s4,0.472
pearson,s1,s4,0.8176754925562831
chisq,s1,s4,1.4934403344974736
gower,s1,s4,0.002599790042990702
bray_curtis,s1,s5,0.7073170731707317
euclidean,s1,s5,12.288205727444508
jaccard,s1,s5,0.5
soergel,s1,s5,0.8285714285714286
morisita_horn,s1,s5,0.7542905188189327
pearson,s1,s5,1.3102023204326905
chisq,s1,s5,1.8864177989499569
gower,s1,s5,0.0028996700589889023
bray_curtis,s1,s6,0.6521739130434783
euclidean,s1,s6,11.135528725660043
jaccard,s1,s6,0.5555555555555556
soergel,s1,s6,0.7894736842105263
morisita_horn,s1,s6,0.5794392523364486
pearson,s1,s6,1.1497563731491756
chisq,s1,s6,1.5309746491862812
gower,s1,s6,0.0029996100909769063
bray_curtis,s1,s7,0.999540101177741
euclidean,s1,s7,31615.18802727575
jaccard,s1,s7,0.4
soergel,s1,s7,0.999769997699977
morisita_horn,s1,s7,0.38448762390708013
pearson,s1,s7,0.595420004121928
chisq,s1,s7,1.1176560808256923
gower,s1,s7,9.996500389911022
bray_curtis,s1,s8,0.999540101177741
euclidean,s1,s8,31615.189735315522
jaccard,s1,s8,0.4
soergel,s1,s8,0.999769997699977
morisita_horn,s1,s8,0.38461339861237875
pearson,s1,s8,1.701211570963945
chisq,s1,s8,1.1178388675845183
gower,s1,s8,9.996500299940012
bray_curtis,s2,s3,0.7391304347826086
euclidean,s2,s3,13.2664991614216
jaccard,s2,s3,0.5555555555555556
soergel,s2,s3,0.85
morisita_horn,s2,s3,0.7335688154408981
pearson,s2,s3,1.3104602102825331
chisq,s2,s3,1.826640298270896
gower,s2,s3,0.0033994901049769054
bray_curtis,s2,s4,0.7446808510638298
euclidean,s2,s4,13.820274961085254
jaccard,s2,s4,0.5
soergel,s2,s4,0.8536585365853658
morisita_horn,s2,s4,0.7495391770410913
pearson,s2,s4,1.3221650529411324
chisq,s2,s4,1.8626981309603379
gower,s2,s4,0.0034996500749821043
bray_curtis,s2,s5,0.47619047619047616
euclidean,s2,s5,7.745966692414834
jaccard,s2,s5,0.6666666666666666
soergel,s2,s5,0.6451612903225806
morisita_horn,s2,s5,0.27879799666110183
pearson,s2,s5,0.48772286532449094
chisq,s2,s5,1.1351571224286692
