param_set,statistic,mean,lo,hi
cluster_prominent_D10,richness_mean,6.061288889,3.124805556,9.375305556
cluster_prominent_D10,top10_frac,0.6582788889,0.3488791667,0.9022708333
cluster_prominent_D10,dissim_ratio,1.184291837,0.9038557577,1.577547766
cluster_subtle_D10,richness_mean,5.668644444,4.941458333,6.491708333
cluster_subtle_D10,top10_frac,0.7133477778,0.6463791667,0.7747375
cluster_subtle_D10,dissim_ratio,1.003349599,0.9810013623,1.041169118
cluster_prominent_D1000,richness_mean,137.444,80.09184722,205.8524306
cluster_prominent_D1000,top10_frac,0.6536766333,0.3488991389,0.8912276389
cluster_prominent_D1000,dissim_ratio,1.694714329,0.905178318,2.674147045
cluster_subtle_D1000,richness_mean,152.9867333,142.8261528,164.5292361
cluster_subtle_D1000,top10_frac,0.7105053222,0.6733486111,0.7416119444
cluster_subtle_D1000,dissim_ratio,1.055074557,0.9674659018,1.220156801
