sample_a,sample_b,distance
s0,s1,33.006717358097426
s0,s2,31.177526192501368
s0,s3,14.740986646324354
s0,s4,29.67267962553917
s0,s5,43.62942914638281
s0,s6,11.154547217348064
s0,s7,40.15391196435959
s1,s2,6.110205558526069
s1,s3,21.110310786889688
s1,s4,40.53310594600174
s1,s5,37.783426969006804
s1,s6,35.691413937705796
s1,s7,38.857770916059096
s2,s3,20.069838750270275
s2,s4,40.7929436403279
s2,s5,42.152523545681746
s2,s6,33.081477331179414
s2,s7,36.93098958958911
s3,s4,25.623590575129615
s3,s5,34.694858897918145
s3,s6,16.047764857414034
s3,s7,30.836742598227286
s4,s5,38.76614850925724
s4,s6,24.33237730215141
s4,s7,40.11717405003297
s5,s6,46.638677365546926
s5,s7,44.851319958615306
s6,s7,34.808239193159665
