sample_a,sample_b,cophenetic
s0,s1,31.9329167428717
s0,s2,31.9329167428717
s0,s3,15.394375751869195
s0,s4,26.542882500940067
s0,s5,41.21662634177272
s0,s6,11.154547217348064
s0,s7,36.950804718571284
s1,s2,6.110205558526069
s1,s3,31.9329167428717
s1,s4,31.9329167428717
s1,s5,41.21662634177272
s1,s6,31.9329167428717
s1,s7,36.950804718571284
s2,s3,31.9329167428717
s2,s4,31.9329167428717
s2,s5,41.21662634177272
s2,s6,31.9329167428717
s2,s7,36.950804718571284
s3,s4,26.542882500940067
s3,s5,41.21662634177272
s3,s6,15.394375751869195
s3,s7,36.950804718571284
s4,s5,41.21662634177272
s4,s6,26.542882500940067
s4,s7,36.950804718571284
s5,s6,41.21662634177272
s5,s7,41.21662634177272
s6,s7,36.950804718571284
