metric,sample_id,feature_id,value
cells_per_g_of_gdna,example1,Escherichia coli,2260023103719.978
cells_per_g_of_gdna,example1,Fusobacterium periodonticum,732784863204.921
cells_per_g_of_gdna,example1,Lactobacillus gasseri,5438576851832.265
cells_per_g_of_gdna,example1,Leptolyngbya valderiana,1158313590928.3313
cells_per_g_of_gdna,example1,Neisseria flavescens,958792227127.9536
cells_per_g_of_gdna,example1,Prevotella sp. oral taxon 299,1308077383248.3533
cells_per_g_of_gdna,example1,Ruminococcus albus,2859984606316.3467
cells_per_g_of_gdna,example1,Streptococcus mitis,1195417056032.4636
cells_per_g_of_gdna,example1,Streptococcus pneumoniae,599635357838.6421
cells_per_g_of_gdna,example1,Tyzzerella nexilis,1327927321117.1
cells_per_g_of_gdna,example1,Veillonella dispar,589840565922.8608
cells_per_g_of_gdna,example2,Escherichia coli,1952836093054.1042
cells_per_g_of_gdna,example2,Fusobacterium periodonticum,11145133111026.762
cells_per_g_of_gdna,example2,Lactobacillus gasseri,4698762891240.716
cells_per_g_of_gdna,example2,Leptolyngbya valderiana,993783562051.9403
cells_per_g_of_gdna,example2,Neisseria flavescens,826365482621.3341
cells_per_g_of_gdna,example2,Prevotella sp. oral taxon 299,1128119680829.8582
cells_per_g_of_gdna,example2,Ruminococcus albus,2471604715978.2427
cells_per_g_of_gdna,example2,Streptococcus mitis,1030524022882.8402
cells_per_g_of_gdna,example2,Streptococcus pneumoniae,516394509546.61127
cells_per_g_of_gdna,example2,Tyzzerella nexilis,1146050767964.4905
cells_per_g_of_gdna,example2,Veillonella dispar,507968035834.4735
cells_per_g_of_sample,example1,Escherichia coli,16242205.77909725
cells_per_g_of_sample,example1,Fusobacterium periodonticum,5266336.667262957
cells_per_g_of_sample,example1,Lactobacillus gasseri,39085655.46409537
cells_per_g_of_sample,example1,Leptolyngbya valderiana,8324502.377704044
cells_per_g_of_sample,example1,Neisseria flavescens,6890593.563746456
cells_per_g_of_sample,example1,Prevotella sp. oral taxon 299,9400816.300829837
cells_per_g_of_sample,example1,Ruminococcus albus,20553975.056440882
cells_per_g_of_sample,example1,Streptococcus mitis,8591155.454987602
cells_per_g_of_sample,example1,Streptococcus pneumoniae,4309425.358708445
cells_per_g_of_sample,example1,Tyzzerella nexilis,9543472.707764706
cells_per_g_of_sample,example1,Veillonella dispar,4239032.704050315
cells_per_g_of_sample,example2,Escherichia coli,9270305.911103543
