metric,sample_id,feature_id,value
cells_per_g_of_gdna,s1,f_both,164308225662.84595
cells_per_g_of_gdna,s1,f_only1,82971137977.67926
cells_per_g_of_gdna,s1,f_zero,55463097226.64319
cells_per_g_of_gdna,s2,f_both,216567474352.45822
cells_per_g_of_gdna,s2,f_only1,100918008718.82799
cells_per_g_of_gdna,s2,f_zero,0.0
cells_per_g_of_gdna,slowr2,f_both,249787480156.52042
cells_per_g_of_gdna,slowr2,f_only1,109538817108.56396
cells_per_g_of_gdna,slowr2,f_zero,61039724780.04587
cells_per_g_of_gdna,snull,f_both,294960241545.0557
cells_per_g_of_gdna,snull,f_only1,123337979255.174
cells_per_g_of_gdna,snull,f_zero,63866700369.46034
cells_per_g_of_sample,s1,f_both,1643082.2566284593
cells_per_g_of_sample,s1,f_only1,829711.3797767925
cells_per_g_of_sample,s1,f_zero,554630.9722664318
cells_per_g_of_sample,s2,f_both,1010648.2136448051
cells_per_g_of_sample,s2,f_only1,470950.70735453063
cells_per_g_of_sample,s2,f_zero,0.0
cells_per_g_of_sample,slowr2,f_both,2497874.801565204
cells_per_g_of_sample,slowr2,f_only1,1095388.1710856396
cells_per_g_of_sample,slowr2,f_zero,610397.2478004586
cells_per_ul_of_sample,s1,f_both,164.30822566284593
cells_per_ul_of_sample,s1,f_only1,82.97113797767925
cells_per_ul_of_sample,s1,f_zero,55.46309722664318
cells_per_ul_of_sample,s2,f_both,202.12964272896102
cells_per_ul_of_sample,s2,f_only1,94.19014147090613
cells_per_ul_of_sample,s2,f_zero,0.0
cells_per_ul_of_sample,slowr2,f_both,249.7874801565204
cells_per_ul_of_sample,slowr2,f_only1,109.53881710856395
cells_per_ul_of_sample,slowr2,f_zero,61.03972478004586
cells_per_ul_of_sample,snull,f_both,294.9602415450557
cells_per_ul_of_sample,snull,f_only1,123.33797925517398
cells_per_ul_of_sample,snull,f_zero,63.86670036946033
cells_per_cm2_of_sample,s1,f_both,8215.411283142297
cells_per_cm2_of_sample,s1,f_only1,4148.556898883963
cells_per_cm2_of_sample,s1,f_zero,2773.1548613321593
cells_per_cm2_of_sample,s2,f_both,5053.241068224025
cells_per_cm2_of_sample,s2,f_only1,2354.753536772653
cells_per_cm2_of_sample,s2,f_zero,0.0
cells_per_cm2_of_sample,slowr2,f_both,12489.37400782602
cells_per_cm2_of_sample,slowr2,f_only1,5476.940855428198
cells_per_cm2_of_sample,slowr2,f_zero,3051.986239002293
cells_per_cm2_of_sample,snull,f_both,14748.012077252786
cells_per_cm2_of_sample,snull,f_only1,6166.8989627587
cells_per_cm2_of_sample,snull,f_zero,3193.335018473017
