metric,sample_id,feature_id,value
cells_per_g_of_gdna,s1,f_both,164308225662.84595
cells_per_g_of_gdna,s1,f_only1,82971137977.67926
cells_per_g_of_gdna,s1,f_zero,55463097226.64319
cells_per_g_of_gdna,s2,f_both,216567474352.45822
cells_per_g_of_gdna,s2,f_only1,0.0
cells_per_g_of_gdna,s2,f_zero,0.0
cells_per_g_of_gdna,snull,f_both,294960241545.0557
cells_per_g_of_gdna,snull,f_only1,123337979255.174
cells_per_g_of_gdna,snull,f_zero,63866700369.46034
cells_per_g_of_sample,s1,f_both,1643082.2566284593
cells_per_g_of_sample,s1,f_only1,829711.3797767925
cells_per_g_of_sample,s1,f_zero,554630.9722664318
cells_per_g_of_sample,s2,f_both,1010648.2136448051
cells_per_g_of_sample,s2,f_only1,0.0
cells_per_g_of_sample,s2,f_zero,0.0
cells_per_ul_of_sample,s1,f_both,164.30822566284593
cells_per_ul_of_sample,s1,f_only1,82.97113797767925
cells_per_ul_of_sample,s1,f_zero,55.46309722664318
cells_per_ul_of_sample,s2,f_both,202.12964272896102
cells_per_ul_of_sample,s2,f_only1,0.0
cells_per_ul_of_sample,s2,f_zero,0.0
cells_per_ul_of_sample,snull,f_both,294.9602415450557
cells_per_ul_of_sample,snull,f_only1,123.33797925517398
cells_per_ul_of_sample,snull,f_zero,63.86670036946033
cells_per_cm2_of_sample,s1,f_both,8215.411283142297
cells_per_cm2_of_sample,s1,f_only1,4148.556898883963
cells_per_cm2_of_sample,s1,f_zero,2773.1548613321593
cells_per_cm2_of_sample,s2,f_both,5053.241068224025
cells_per_cm2_of_sample,s2,f_only1,0.0
cells_per_cm2_of_sample,s2,f_zero,0.0
cells_per_cm2_of_sample,snull,f_both,14748.012077252786
cells_per_cm2_of_sample,snull,f_only1,6166.8989627587
cells_per_cm2_of_sample,snull,f_zero,3193.335018473017
