t,df,sf
0.0,1,0.5
1e-12,1,0.5
1e-08,1,0.4999999952568131
0.0001,1,0.49996816901146507
0.001,1,0.49968169021990794
0.01,1,0.496817007235093
0.1,1,0.4682744825694465
0.5,1,0.35241638234956674
1.0,1,0.25000000000000006
1.5,1,0.18716704181099886
2.0,1,0.14758361765043326
2.5,1,0.12111894159084341
3.0,1,0.10241638234956672
4.0,1,0.07797913037736932
5.0,1,0.0628329581890012
7.5,1,0.04219246315884136
10.0,1,0.03172551743055357
20.0,1,0.015902251256176374
50.0,1,0.006365349100972797
100.0,1,0.003182992764908255
1000.0,1,0.0003183097800805589
100000.0,1,3.183098861731804e-06
10000000000.0,1,3.183098861837907e-11
-0.5,1,0.6475836176504333
-1.0,1,0.75
-2.0,1,0.8524163823495667
-5.0,1,0.9371670418109987
-100.0,1,0.9968170072350917
0.0,2,0.5
1e-12,2,0.49999999999964645
1e-08,2,0.4999999964644661
0.0001,2,0.4999646446610291
0.001,2,0.49964644669779507
0.01,2,0.4964645544791005
0.1,2,0.4647327192070701
0.5,2,0.33333333333333337
1.0,2,0.2113248654051871
1.5,2,0.13619656244550055
2.0,2,0.09175170953613698
2.5,2,0.06480586011075541
3.0,2,0.04773298313335456
4.0,2,0.028595479208968315
5.0,2,0.018874775675311862
7.5,2,0.008658663439686222
10.0,2,0.004926228511662845
20.0,2,0.0012453319461835485
50.0,2,0.00019988007994404028
100.0,2,4.999250124978129e-05
1000.0,2,4.9999925000125e-07
100000.0,2,4.999999999250001e-11
10000000000.0,2,5e-21
-0.5,2,0.6666666666666666
-1.0,2,0.7886751345948129
-2.0,2,0.908248290463863
-5.0,2,0.9811252243246882
-100.0,2,0.9999500074987502
0.0,3,0.5
1e-12,3,0.49999999999963246
1e-08,3,0.499999996324474
0.0001,3,0.4999632447403869
0.001,3,0.49963244748473046
0.01,3,0.496324555706426
0.1,3,0.46332617440040297
0.5,3,0.3257239824240755
1.0,3,0.19550110947788524
1.5,3,0.11529193262241147
2.0,3,0.06966298427942152
2.5,3,0.04385332350403278
3.0,3,0.02883444281121865
4.0,3,0.014004228005073076
5.0,3,0.007696219036651147
