sample_id,feature_id,value
IBSRS3526007,G000005825_1,0.0
IBSRS3526007,G000005825_2,44849828.956345424
IBSRS3526007,G000005825_3,0.0
IBSRS3526007,G000005825_4,803860845.6086913
IBSRS3526007,G000005825_5,0.0
IBSRS3526007,G900163845_3247,146800902750.18985
IBSRS3526007,G900163845_3248,0.0
IBSRS3526007,G900163845_3249,5465789761.195027
IBSRS3526007,G900163845_3250,0.0
IBSRS3526007,G900163845_3251,1351127172.7918575
IQSRS3526010,G000005825_1,0.0
IQSRS3526010,G000005825_2,0.0
IQSRS3526010,G000005825_3,970761.7640079771
IQSRS3526010,G000005825_4,0.0
IQSRS3526010,G000005825_5,527250258.9559848
IQSRS3526010,G900163845_3247,44574009.27758831
IQSRS3526010,G900163845_3248,0.0
IQSRS3526010,G900163845_3249,2353361.8521405505
IQSRS3526010,G900163845_3250,172006850.06016344
IQSRS3526010,G900163845_3251,326067588.60279095
