sample_id,feature_id,value
s1,f00,5.0
s1,f02,3.0
s1,f03,8.0
s1,f05,2.0
s1,f07,1.0
s1,f08,4.0
s2,f01,7.0
s2,f02,2.0
s2,f04,6.0
s2,f05,1.0
s2,f06,3.0
s2,f09,5.0
s3,f00,4.0
s3,f01,1.0
s3,f03,9.0
s3,f04,2.0
s3,f06,1.0
s3,f07,3.0
s3,f09,2.0
s4,f02,8.0
s4,f03,1.0
s4,f05,5.0
s4,f06,2.0
s4,f08,6.0
s4,f09,1.0
s5,f00,3.0
s5,f01,4.0
s5,f02,1.0
s5,f04,7.0
s5,f07,2.0
s5,f08,1.0
s6,f00,1.0
s6,f01,2.0
s6,f03,3.0
s6,f05,4.0
s6,f06,5.0
s6,f08,2.0
s6,f09,6.0
s7,f00,10000.0
s7,f01,10001.0
s7,f02,9998.0
s7,f03,10002.0
s7,f04,9999.0
s7,f05,10000.0
s7,f06,9999.0
s7,f07,10002.0
s7,f08,10000.0
s7,f09,9998.0
s8,f00,9999.0
s8,f01,10002.0
s8,f02,10000.0
s8,f03,9998.0
s8,f04,10001.0
s8,f05,9997.0
s8,f06,10001.0
s8,f07,10000.0
s8,f08,9998.0
s8,f09,10003.0
