sample_id,feature_id,value
IBSRS3526007,G000005825_1,0.0
IBSRS3526007,G000005825_2,2.0
IBSRS3526007,G000005825_3,0.0
IBSRS3526007,G000005825_4,35.0
IBSRS3526007,G000005825_5,0.0
IBSRS3526007,G900163845_3247,10292.0
IBSRS3526007,G900163845_3248,0.0
IBSRS3526007,G900163845_3249,190.0
IBSRS3526007,G900163845_3250,0.0
IBSRS3526007,G900163845_3251,34.0
IQSRS3526010,G000005825_1,0.0
IQSRS3526010,G000005825_2,0.0
IQSRS3526010,G000005825_3,1.0
IQSRS3526010,G000005825_4,0.0
IQSRS3526010,G000005825_5,694.0
IQSRS3526010,G900163845_3247,382.0
IQSRS3526010,G900163845_3248,0.0
IQSRS3526010,G900163845_3249,10.0
IQSRS3526010,G900163845_3250,630.0
IQSRS3526010,G900163845_3251,1003.0
