sample_id,feature_id,value
sA,b1,100000.0
sA,b2,10000.0
sA,b3,1000.0
sA,b4,100.0
sA,b5,12.0
sA,b6,2.0
sA,b7,9.0
sA,b8,11.0
sB,b1,90000.0
sB,b2,11000.0
sB,b3,900.0
sB,b4,120.0
sB,b5,8.0
sB,b6,2.0
sB,b7,11.0
sB,b8,7.0
sPERFECT,b1,100000.0
sPERFECT,b2,10000.0
sPERFECT,b3,1000.0
sPERFECT,b4,100.0
sPERFECT,b5,10.0
sPERFECT,b6,2.0
sPERFECT,b7,10.0
sPERFECT,b8,10.0
sZERO,b1,100000.0
sZERO,b2,10000.0
sZERO,b3,1000.0
sZERO,b4,100.0
sZERO,b5,0.0
sZERO,b6,2.0
sZERO,b7,9.0
sZERO,b8,11.0
sTWO,b1,0.0
sTWO,b2,0.0
sTWO,b3,0.0
sTWO,b4,100.0
sTWO,b5,1000.0
sTWO,b6,2.0
sTWO,b7,0.0
sTWO,b8,0.0
sCONSTY,b1,0.0
sCONSTY,b2,0.0
sCONSTY,b3,0.0
sCONSTY,b4,0.0
sCONSTY,b5,500.0
sCONSTY,b6,2.0
sCONSTY,b7,700.0
sCONSTY,b8,900.0
sONE,b1,0.0
sONE,b2,0.0
sONE,b3,0.0
sONE,b4,0.0
sONE,b5,1000.0
sONE,b6,2.0
sONE,b7,0.0
sONE,b8,0.0
sNONE,b1,0.0
sNONE,b2,0.0
sNONE,b3,0.0
sNONE,b4,0.0
sNONE,b5,0.0
sNONE,b6,0.0
sNONE,b7,0.0
sNONE,b8,0.0
sFLAT,b1,500.0
sFLAT,b2,500.0
sFLAT,b3,500.0
sFLAT,b4,500.0
sFLAT,b5,500.0
sFLAT,b6,2.0
sFLAT,b7,500.0
sFLAT,b8,500.0
sNULL,b1,100000.0
sNULL,b2,10000.0
sNULL,b3,1000.0
sNULL,b4,100.0
sNULL,b5,12.0
sNULL,b6,2.0
sNULL,b7,9.0
sNULL,b8,11.0
sNEG,b1,100000.0
sNEG,b2,10000.0
sNEG,b3,1000.0
sNEG,b4,100.0
sNEG,b5,12.0
sNEG,b6,2.0
sNEG,b7,9.0
sNEG,b8,11.0
